subject,trial,trial_uid,redundancy,unique_ecn,unique_dmn,synergy
sub-M87100058,0,sub-M87100058_win_0,0.5044649446147949,0.0,0.3277446983606911,0.9064195831904973
sub-M87100058,1,sub-M87100058_win_1,0.37954802125357645,0.0,0.7947962048123571,0.9483660397979294
sub-M87100058,2,sub-M87100058_win_2,0.43932999746316703,0.0,0.4031632725476655,1.023671025401562
sub-M87100058,3,sub-M87100058_win_3,0.6659249041622157,0.0,0.8804070131154136,0.8757254817796385
sub-M87100058,4,sub-M87100058_win_4,1.0782537679925541,0.24589243415301176,0.0,0.8828452388295194
sub-M87100058,5,sub-M87100058_win_5,0.6617453681489227,0.0,0.569882881770055,0.8331990131476719
sub-M87100058,6,sub-M87100058_win_6,0.41990256375222845,0.0,0.5335146305716707,1.0298980793402608
sub-M87100058,7,sub-M87100058_win_7,0.763548545286854,0.5249398234175917,0.0,0.8532222925325197
sub-M87100058,8,sub-M87100058_win_8,0.711532564433675,0.0,0.3010452126584289,1.156777982510122
sub-M87100058,9,sub-M87100058_win_9,1.0919299683135906,0.26747404887701,0.0,0.49208889791981747
sub-M87100058,10,sub-M87100058_win_10,0.41786380737260664,0.0,0.40279161149241105,1.1507012339548233
sub-M87100058,11,sub-M87100058_win_11,1.1419094547904782,0.0,0.5853046165702782,0.3576510548678984
sub-M87100058,12,sub-M87100058_win_12,1.4061723922707827,0.0,0.008051196068765698,0.4374909509595577
sub-M87100058,13,sub-M87100058_win_13,1.942343931587403,0.043244324742200746,0.0,0.05979334827425653
sub-M87100058,14,sub-M87100058_win_14,0.6047633667315351,0.0,0.101443996269027,1.1052498950040954
sub-M87100058,15,sub-M87100058_win_15,0.39797213455007885,0.0,0.873869790490204,0.8671504881727135
sub-M87100058,16,sub-M87100058_win_16,0.6760057917131013,0.0,0.4546881460723595,0.8105912617127506
sub-M87100058,17,sub-M87100058_win_17,0.5702561883746577,1.1597015916818982,0.0,0.512802247450753
sub-M87100058,18,sub-M87100058_win_18,0.5546909029419274,0.0,0.15378134954227995,1.0417116139736624
sub-M87100058,19,sub-M87100058_win_19,0.8791078328989483,0.0,0.005183108250299995,1.2391852822208191
sub-M87100058,20,sub-M87100058_win_20,0.7922097772593721,0.0,0.23192510437679914,1.122144851707744
sub-M87100058,21,sub-M87100058_win_21,0.6646096368749372,0.04995442147515483,0.0,1.2711835452142086
sub-M87100058,22,sub-M87100058_win_22,0.5466266281960923,0.5850072808563311,0.0,0.9663184758623329
sub-M87100058,23,sub-M87100058_win_23,0.6285304431675245,0.6881066415740991,0.0,0.9592343448005058
sub-M87100058,24,sub-M87100058_win_24,0.8060525409508266,0.3847517237862492,0.0,0.9510353912370899
sub-M87100058,25,sub-M87100058_win_25,0.8239895909755264,1.035605414602049,0.0,0.40454453764119336
sub-M87100058,26,sub-M87100058_win_26,0.6265682577192591,0.0,0.6718861378432432,0.8423314032048772
sub-M87100058,27,sub-M87100058_win_27,0.7318250009996126,0.0,0.14469815754030524,1.183041820962142
sub-M87100058,28,sub-M87100058_win_28,0.462352197281076,0.0,0.589324528184239,0.9062182491936257
sub-M87100058,29,sub-M87100058_win_29,0.5357012983954395,0.0,0.23591462447112388,1.1131439708868847
sub-M87100058,30,sub-M87100058_win_30,0.993764791050733,0.0,0.33126751825608114,0.8516881212439209
sub-M87100058,31,sub-M87100058_win_31,0.5766629999085842,0.3577942227135553,0.0,1.1112669770273786
sub-M87100058,32,sub-M87100058_win_32,0.6022813542082464,0.8992364094168988,0.0,0.4628548584694663
sub-M87100058,33,sub-M87100058_win_33,1.4352621059767987,0.0,0.09145529544727804,0.37454203385830986
sub-M87100058,34,sub-M87100058_win_34,0.5710011575844929,0.0,0.41692113500021843,0.8676437825289138
sub-M87100058,35,sub-M87100058_win_35,0.595332950121561,0.0,0.2665723793297827,1.0286990856755924
sub-M87100058,36,sub-M87100058_win_36,0.4451017443761822,0.0,0.5723228716497148,1.0642429748120046
sub-M87100058,37,sub-M87100058_win_37,0.8764189354607508,0.0,0.2311578269217316,0.9538970406054785
sub-M87100058,38,sub-M87100058_win_38,0.8925689064510633,0.023065511744330358,0.0,1.0024394024715226
sub-M87100058,39,sub-M87100058_win_39,0.5589545318054183,1.2480012946720827,0.0,0.5744180730942654
sub-M87100058,40,sub-M87100058_win_40,1.1637425182089007,0.3013398072687963,0.0,0.6398624405432844
sub-M87100058,41,sub-M87100058_win_41,1.005314564594931,0.8704004560452931,0.0,0.39339516548921605
sub-M87100058,42,sub-M87100058_win_42,0.4084223663108322,0.0,0.10867944588709566,1.3814543766051548
sub-M87100058,43,sub-M87100058_win_43,0.2756984375104583,0.19042968873095312,0.0,1.2430812288640718
sub-M87100058,44,sub-M87100058_win_44,0.7797613021735685,0.18169433704074223,0.0,1.0991863449072659
sub-M87100058,45,sub-M87100058_win_45,0.8950381769575078,0.7130516440461871,0.0,0.5587694787862807
sub-M87100058,46,sub-M87100058_win_46,0.4578566966185571,0.41259499184264037,0.0,1.089836383500404
sub-M87100058,47,sub-M87100058_win_47,0.4638707223625218,0.18579340287622603,0.0,0.7804374227608957
sub-M87100058,48,sub-M87100058_win_48,0.4207926037383105,0.008537393724856734,0.0,1.2370951510713226
sub-M87100058,49,sub-M87100058_win_49,0.4651017443761827,0.2553069699430992,0.0,1.1612319245033937
sub-M87100058,50,sub-M87100058_win_50,0.6081676346366169,0.2348068171966835,0.0,0.8889805175424561
sub-M87100058,51,sub-M87100058_win_51,0.9041340562403022,0.0,0.059490645746830495,0.9118188244409247
sub-M87100058,52,sub-M87100058_win_52,0.5893886911925179,0.0,0.4153025147216294,0.9490537564809678
sub-M87100058,53,sub-M87100058_win_53,0.35461464538940746,1.3018582992988588,0.0,0.6342397242358553
sub-M87100058,54,sub-M87100058_win_54,0.4020358541157458,0.0,0.54805608827514,1.075496202917031
sub-M87100058,55,sub-M87100058_win_55,0.9787823999186882,0.49333297849375146,0.0,0.9083086745104829
sub-M87100058,56,sub-M87100058_win_56,1.057727538873742,0.11436039991211189,0.0,0.6753187816081043
sub-M87100058,57,sub-M87100058_win_57,0.5301926712029443,0.1779474735601232,0.0,1.1481705397113942
sub-M87100058,58,sub-M87100058_win_58,0.9401677974816058,0.014797965933255774,0.0,0.9921050207097668
sub-M87100058,59,sub-M87100058_win_59,0.7940448540233955,0.0,0.04252122643996348,1.3188860838832381
sub-M87100058,60,sub-M87100058_win_60,0.4363905065279967,0.0,0.10563080237858813,1.389481748409997
sub-M87100058,61,sub-M87100058_win_61,0.5623039270871466,0.12785235787132,0.0,1.317586054660591
sub-M87100058,62,sub-M87100058_win_62,0.35930834149995494,1.0758947006453106,0.0,0.6533709312680678
sub-M87100058,63,sub-M87100058_win_63,0.9414952321883527,0.27149911312459807,0.0,0.7279178998618141
sub-M87100058,64,sub-M87100058_win_64,1.127875006056934,0.6405270986435783,0.0,0.48120372357055796
sub-M87100058,65,sub-M87100058_win_65,1.1742339884298332,0.21112802096315963,0.0,0.5889164641754654
sub-M87100058,66,sub-M87100058_win_66,0.7900300614789177,0.9051452557220907,0.0,0.5120970911629055
sub-M87100058,67,sub-M87100058_win_67,0.5485129445930257,0.023290829747704578,0.0,1.3408256039722488
sub-M87100058,68,sub-M87100058_win_68,0.6255436614709113,0.6401172456919202,0.0,0.9021477747979505
sub-M87100058,69,sub-M87100058_win_69,1.0083365590604343,0.0,0.030152053334970397,0.9568505849016713
sub-M87100058,70,sub-M87100058_win_70,1.3207644980580735,0.15573766302396752,0.0,0.6832934067455154
sub-M87100058,71,sub-M87100058_win_71,0.6819412467515678,0.0,0.7424581405440902,0.8152947499512191
sub-M87100058,72,sub-M87100058_win_72,0.9786728340439677,0.3068761841113572,0.0,0.9003777074447781
sub-M87100058,73,sub-M87100058_win_73,1.6671349136219051,0.0,0.030283642400973143,0.5671522176233221
sub-M87100058,74,sub-M87100058_win_74,1.5645138973658756,0.010303272089721816,0.0,0.384398154776302
sub-M87100058,75,sub-M87100058_win_75,0.547919675931948,0.004210247689652391,0.0,1.3813877467258902
sub-M87100058,76,sub-M87100058_win_76,0.6813042619180711,0.0,1.0159525993249572,0.6096297871949723
sub-M87100058,77,sub-M87100058_win_77,0.8192429884644001,0.7282478736460716,0.0,0.586585469640676
sub-M87100058,78,sub-M87100058_win_78,0.566148956808755,0.0,0.09450795350578112,1.2856475042364162
sub-M87100058,79,sub-M87100058_win_79,0.5616511393008494,0.07147743902185066,0.0,1.2668556663748936
sub-M87100058,80,sub-M87100058_win_80,0.5449062442896411,0.0,0.22007939610136873,1.1121978527522804
sub-M87100058,81,sub-M87100058_win_81,0.522858347848131,0.22082576416896327,0.0,1.182560245550314
sub-M87100058,82,sub-M87100058_win_82,0.4611511458966495,0.0,0.0554333692683695,1.3332381137730218
sub-M87100058,83,sub-M87100058_win_83,0.3793602979747357,0.0,0.16908747865484042,1.2269124105770626
sub-M87100058,84,sub-M87100058_win_84,0.4012320334475348,0.0,0.11660796045869404,1.2354324147112727
sub-M87100058,85,sub-M87100058_win_85,0.3802132142327448,0.0,0.0923710628233474,0.6673857913865762
sub-M87100058,86,sub-M87100058_win_86,0.36100623284942746,0.0,0.19092736528976584,1.2972974129295034
sub-M87100058,87,sub-M87100058_win_87,0.8512189796878928,0.19188823020914114,0.0,1.2680711895881958
sub-M87100058,88,sub-M87100058_win_88,0.6344277475064368,0.0,0.5097890998017434,0.8048013600452686
sub-M87100058,89,sub-M87100058_win_89,0.45820218501725396,0.0,0.1565736976155998,1.1635820476641427
sub-M87100058,90,sub-M87100058_win_90,0.41658346898206844,0.45133836606623934,0.0,0.8867883741073719
sub-M87100058,91,sub-M87100058_win_91,0.47087624970874487,0.0,0.08552412599285031,1.2345723876992176
sub-M87100058,92,sub-M87100058_win_92,0.46854920721026083,0.1584270475617675,0.0,1.1992403756312502
sub-M87100058,93,sub-M87100058_win_93,0.5422230395362613,0.42276359016091547,0.0,1.0539857783443436
sub-M87100058,94,sub-M87100058_win_94,0.4264982958471455,0.07300637113521713,0.0,1.0150760968909536
sub-M87100058,95,sub-M87100058_win_95,0.7442185276066029,0.13056644484118074,0.0,0.8134755253150256
sub-M87100058,96,sub-M87100058_win_96,0.37066702980891186,0.28701350584093177,0.0,1.201318774159942
