metric,col,N_CTL,N_MDD,CTL_mean,CTL_std,MDD_mean,MDD_std,d,p_raw,H_dir,H_confirmed,p_fdr
TE Fz→FCz (Reward),TE_fwd_Reward,87,23,0.007132351188287427,0.016830429449805704,0.007247114009094415,0.017763656353913308,-0.006740967592152873,0.5532742785843641,CTL>MDD,False,0.8446952551714669
TE Fz→FCz (Loss),TE_fwd_Loss,85,23,0.0036191022444305807,0.012361823596164407,8.744657418900011e-05,0.00041937903710131106,0.32088074416297446,0.27723282718784115,CTL>MDD,True,0.8446952551714669
TE FCz→Fz (Reward),TE_bwd_Reward,87,23,0.00024694307909517405,0.00230333170325758,0.0,0.0,0.12014425971949105,0.6228522402544238,no_hyp,,0.8446952551714669
TE FCz→Fz (Loss),TE_bwd_Loss,85,23,0.0006824942205563649,0.00586073038839495,0.0,0.0,0.13081589736538313,0.46967392473129754,no_hyp,,0.8446952551714669
Net TE Reward (fwd-bwd),TE_net_Reward,87,23,0.006885408109192252,0.016912720618872817,0.007247114009094415,0.017763656353913308,-0.021165392855949348,0.6700213269261102,CTL>MDD,False,0.8446952551714669
Net TE Loss (fwd-bwd),TE_net_Loss,85,23,0.0029366080238742154,0.011490705993624983,8.744657418900011e-05,0.00041937903710131106,0.2784889023891801,0.5634908007737862,CTL>MDD,True,0.8446952551714669
TE_fwd Reward−Loss asymmetry,TE_fwd_asym,85,23,0.0036810689718165526,0.015902777351328157,0.0071596674349054135,0.017805854338439918,-0.2132014116234278,0.7825178173053712,CTL>MDD,False,0.8446952551714669
Net TE Reward−Loss asymmetry,TE_net_asym,85,23,0.004110809687887269,0.01534554800257245,0.0071596674349054135,0.017805854338439918,-0.19190244192062053,0.8446952551714669,CTL>MDD,False,0.8446952551714669
