condition,metric,hypothesis,CTL_mean,CTL_std,MDD_mean,MDD_std,N_CTL,N_MDD,d,p_raw,H_dir_confirmed,p_fdr,sig_fdr,trend_raw
Reward,RewP_mean,CTL>MDD,2.727942741106072,4.893343093807126,4.166887398890023,4.873136459977453,87,23,-0.29430883157514254,0.2252059267368659,✗,0.5025838644592624,False,False
Reward,RewP_std,CTL>MDD,7.45430660139119,5.312112378373493,7.558797792789803,2.4407067411866255,87,23,-0.021471089280863834,0.20351405564881198,✗,0.5025838644592624,False,False
Reward,ITC_theta,MDD>CTL,0.2921908211556544,0.11140535378559703,0.27058066590600793,0.10357810237359719,87,23,0.19671319657625663,0.5273041790334593,✗,0.5858935322593992,False,False
Reward,Peak_mean,CTL>MDD,16.06809474921697,7.979178778585314,18.8986069990061,8.084102524363594,87,23,-0.3537846788038651,0.09966719875639428,✗,0.5025838644592624,False,True
Reward,Peak_std,CTL>MDD,10.179161512171671,6.9213756983123265,10.639569029100532,4.168751571382477,87,23,-0.07130863856485153,0.23375172811263023,✗,0.5025838644592624,False,False
Loss,RewP_mean,CTL>MDD,2.810948491412732,4.611039882366644,3.580356127464918,4.0653163013461295,87,23,-0.17078066791544944,0.3069262567457862,✗,0.5025838644592624,False,False
Loss,RewP_std,CTL>MDD,7.234175457947818,5.963564843566006,7.327143538712262,2.6368462593578146,87,23,-0.017048778028556456,0.27343076803946376,✗,0.5025838644592624,False,False
Loss,ITC_theta,MDD>CTL,0.28666762410031754,0.09084607741355909,0.26095650616022825,0.07326152516507568,87,23,0.2936703248910331,0.40206709156740994,✗,0.5025838644592624,False,False
Loss,Peak_mean,CTL>MDD,-8.198730772403302,3.356193965818474,-8.41209907545898,3.3310364724988504,87,23,0.06367141625869825,0.9589652204275372,✓,0.9589652204275372,False,False
Loss,Peak_std,CTL>MDD,6.993298651861258,5.736150472542767,6.628995400571234,1.682612678406356,87,23,0.07040074465935627,0.3582061516184608,✓,0.5025838644592624,False,False
