variant,window,lag,bins,CTL,MDD,d,p_raw,N_CTL,N_MDD,p_fdr,H_dir
pre_200_lag1_bins4,-200–0ms,1,4,1.1129685454486196,1.0286541641955316,0.8175732344041992,0.00018306557560303474,87,23,0.0002743340297068634,True
pre_500_lag2_bins4,-500–0ms,2,4,0.8955544459987748,0.7853607099415487,0.8737552148994853,9.79301914449207e-05,87,23,0.0002743340297068634,True
pre_200_lag1_bins6,-200–0ms,1,6,1.3970273178963801,1.2978292771591584,0.8055732291049796,0.00026660975737214336,87,23,0.0002743340297068634,True
pre_200_lag1_bins8,-200–0ms,1,8,1.5992832222375177,1.4946358284697114,0.7988420616284112,0.0002743340297068634,87,23,0.0002743340297068634,True
