comparison,N_CTL,N_MDD,CTL_AIS_pre,MDD_AIS_pre,CTL_AIS_post,MDD_AIS_post,CTL_dAIS,CTL_dAIS_std,MDD_dAIS,MDD_dAIS_std,U,p_raw,d,H1_confirmed,p_fdr
All_conditions,86,23,1.1117922490674905,1.0286541641955316,0.6590276108200318,0.618196021661732,0.45276463824745883,0.10600487214784982,0.41045814253379953,0.17917994187027148,1121.0,0.32877816713667785,0.33951032552870586,✓,0.4735887148760475
Reward_only,86,23,1.109357761856102,1.0286318775512209,0.6631722191315034,0.6210671767674656,0.4461855427245985,0.11099884176850143,0.40756470078375534,0.19189159975866896,1086.0,0.4735887148760475,0.29313393091594386,✓,0.4735887148760475
Loss_only,86,23,1.1150321207909852,1.0276753824531994,0.6535829009367052,0.6127569079707931,0.4614492198542799,0.10675593473563727,0.41491847448240626,0.16862483054062571,1154.0,0.22183975672468836,0.38119641026936474,✓,0.4735887148760475
