comparison,N_CTL,N_MDD,CTL_mean,CTL_std,MDD_mean,MDD_std,U,p_raw,d,p_fdr
CTL vs MDD — CV_Reward,87,23,2.961710643860512,5.903962680014966,3.2391255554168463,5.906853586108655,1083.0,0.5466914295094263,0.04698323030195145,0.7969774431490779
CTL vs MDD — CV_Loss,87,23,5.017179632555213,14.433425475314877,4.4359907045797,9.972889341741102,1095.0,0.4896101391895238,-0.04259795092704515,0.7969774431490779
CTL vs MDD — CV_Asymmetry,87,23,-2.0554689886947,14.73350222812128,-1.1968651491628535,10.675073806675664,1036.0,0.7969774431490779,0.06131783625765553,0.7969774431490779
