measure,CTL,MDD,d,p,H_confirmed,p_fdr
AIS_pre  (anticipation),1.1117922490674905,1.0286541641955316,0.8060669101785116,0.00022018310599597834,True,0.0006605493179879351
AIS_post (post-feedback),0.6590276108200318,0.618196021661732,0.2847208839948075,0.32877816713667785,True,0.32877816713667785
delta_AIS (disruption),0.4527646382474588,0.41045814253379953,0.33951032552870536,0.32877816713667785,True,0.32877816713667785
