feature,CTL_mean,MDD_mean,cohens_d,p_value
dds_frontal_f2,25.666497175830578,30.237994370850153,0.38431950349405053,0.0882616937612899
dds_RH_f2,24.976925891026973,29.758537103755263,0.3828039515356545,0.08976210476504293
dds_cACC_f2,25.02365839633408,29.791540502327774,0.3721612075290978,0.09900399216231953
dds_LH_f2,25.40338535561524,29.909878913594586,0.3621969967269001,0.1081666240129249
dds_frontal_f1,22.39244473064424,27.332572664513737,0.3460438035207672,0.12433437034216786
dds_RH_f1,21.15659271353813,25.927078061887183,0.3183026166501699,0.15608308945160568
dds_cACC_f1,20.81965220941839,25.630567461687168,0.3167725401829142,0.15791459614827036
dds_LH_f1,21.5222094320282,26.166917037274285,0.3145724138081587,0.1609039375748089
ais_frontal,0.6154598293385759,0.546206257325017,-0.2751109985439897,0.2246522527887698
dds_LH_A_ratio,0.5704281843925664,0.609165983165014,0.27268586425274927,0.227090773261425
dds_frontal_A_ratio,0.5624969562067595,0.603166741441283,0.2716951369552182,0.22548518200983086
ais_cACC,0.6448945187715909,0.5670356005830652,-0.26695820655071517,0.23655746750072978
ais_LH,0.6291675624727211,0.5585137173273047,-0.26574313652803394,0.23882453634253753
te_LH_frontal,0.017483954286913954,0.018961619015718804,0.26231305919878634,0.2349043180095071
ais_RH,0.6292666835342718,0.5571960731029826,-0.254611219842631,0.2586475565098756
pid_synergy,0.018650498813035113,0.021115649365414855,0.23533144768290634,0.29358506853780564
dds_frontal_alpha1,7.037180894108613,6.590046579076973,-0.2209819368380218,0.3262428586371907
dds_LH_alpha1,6.423209562015225,6.734532683715773,0.2005498330259847,0.3653435561129045
dds_RH_alpha2,16.98940661513252,17.660058229786607,0.19237119014904003,0.3832528010369636
dds_RH_A_ratio,0.5806093803465643,0.605069040224701,0.18769060741399923,0.40384416891464137
dds_RH_alpha_mean,11.882808551492886,12.24227993135554,0.18411910118171854,0.4087612098055422
pid_redundancy,0.185950070482314,0.1701393647900314,-0.1827050688774672,0.42655192161162814
dds_frontal_alpha_mean,12.337702367031696,11.978065717572255,-0.1722855551191509,0.4400517463668572
pid_total_mi,0.2195693539936447,0.20742796697611485,-0.12803932172207946,0.5755993414461527
dds_LH_alpha_mean,12.24920016396741,12.452059030128913,0.1019627637111853,0.6482671558313327
dds_cACC_alpha2,17.247877660766857,16.96770895600402,-0.09086556917786848,0.6839748293430796
dds_cACC_alpha_mean,12.08210821225929,11.938672995016903,-0.08313461010281849,0.7101785628834523
dds_cACC_A_ratio,0.5851514482177125,0.5956614488347061,0.0758425365446139,0.7341394858429342
dds_frontal_alpha2,17.638223839954776,17.366084856067545,-0.06754477301727775,0.7605313679865918
pid_unique_RH,0.004195361986873515,0.004621899235070717,0.06745881303014724,0.7634730831133256
pid_unique_LH,0.01077342271142192,0.011551053585597772,0.06076925098207054,0.7836493844962937
dds_cACC_f_diff,10.945684248824275,11.493812059235388,0.0553445694353379,0.8027850972747602
te_frontal_cACC,0.014418182019463514,0.01470499037326881,0.049140927827172144,0.8245049602442531
dds_RH_f_diff,11.232032874323027,11.72158033622624,0.048945872557930564,0.8250891869328678
dds_LH_f_diff,11.582522841130633,11.912284723694851,0.03219088712128131,0.8844402445940331
te_RH_frontal,0.020711695945745092,0.020950867892797497,0.026503047974230108,0.9051625405566441
dds_LH_alpha2,18.075190765919597,18.169585376542052,0.02461467030954981,0.9119863946989567
dds_RH_alpha1,6.776210487853258,6.824501632924472,0.023642033386664624,0.9164582097587617
te_cACC_frontal,0.029890139023509624,0.029657119679490116,-0.02190885888383588,0.9214401428654685
dds_frontal_f_diff,12.32367261813257,12.405894644132914,0.00789967511347271,0.9715020189793213
dds_cACC_alpha1,6.916338763751727,6.909637034029778,-0.0035840327794179807,0.9872169111338532
