classifier,accuracy,balanced_accuracy,roc_auc,f1,sensitivity,specificity
LogReg,0.5476190476190477,0.545766590389016,0.5451945080091533,0.5777777777777778,0.5652173913043478,0.5263157894736842
LDA,0.5476190476190477,0.5434782608695652,0.5400457665903889,0.5869565217391305,0.5869565217391305,0.5
SVM-RBF,0.5238095238095238,0.5080091533180778,0.4553775743707094,0.6078431372549019,0.6739130434782609,0.34210526315789475
SVM-Lin,0.5595238095238095,0.5635011441647597,0.5846681922196796,0.5647058823529412,0.5217391304347826,0.6052631578947368
RF,0.5714285714285714,0.562929061784897,0.5594965675057209,0.6250000000000001,0.6521739130434783,0.47368421052631576
MLP,0.5357142857142857,0.5326086956521738,0.5749427917620137,0.5714285714285713,0.5652173913043478,0.5
XGB,0.6071428571428571,0.6046910755148742,0.5480549199084668,0.6373626373626373,0.6304347826086957,0.5789473684210527
