dataset,feature_group,n_features,LogReg_AUC,LogReg_std,ResNet_AUC,ResNet_std,FTTransformer_AUC,FTTransformer_std
ds003474 DDS+N=87,DDS+Info+Baseline,1454,0.8666161616161616,0.0924880278875063,0.6639393939393939,0.0821047171178536,0.7217171717171716,0.0679926294042279
ds003474 DDS+N=87,Baseline only,1295,0.8638383838383838,0.0908791196386007,0.6968181818181818,0.0742344529493778,0.6644444444444445,0.0887818455563857
ds003474 DDS+N=87,DDS only,56,0.6376262626262627,0.036542070634161,0.5681313131313133,0.1228571453994286,0.7177272727272728,0.0709336916662793
ds003474 DDS+N=87,Info only,73,0.558989898989899,0.0792775832798451,0.4806565656565656,0.0964296832296711,0.5461616161616162,0.1255493387703287
ds003474 N=111,All (no DDS),1406,0.6096764346764346,0.11932670747122606,0.5709706959706959,0.12289810970683454,0.5386141636141636,0.06678896559180045
