subject,cond,trial,r2,A1,gamma1,f1,phi1,A2,gamma2,f2,phi2,C
558,Reward,98,1.0,0.0,5.0,1.6611295681063123,0.0,0.0,10.0,8.305647840531561,0.0,0.0
558,Loss,90,1.0,0.0,5.0,1.6611295681063123,0.0,0.0,10.0,8.305647840531561,0.0,0.0
558,Loss,91,1.0,0.0,5.0,1.6611295681063123,0.0,0.0,10.0,8.305647840531561,0.0,0.0
558,Loss,92,1.0,0.0,5.0,1.6611295681063123,0.0,0.0,10.0,8.305647840531561,0.0,0.0
